waveform	[0]
t0	4/25/2025  16:03:36.789856
delta t	2.272727E-5

time	Y[0]
4/25/2025  16:03:36.801697	0.000000E+0
4/25/2025  16:03:36.801720	-3.051758E-5
4/25/2025  16:03:36.801743	3.051758E-5
4/25/2025  16:03:36.801766	0.000000E+0
4/25/2025  16:03:36.801788	0.000000E+0
4/25/2025  16:03:36.801811	3.051758E-5
4/25/2025  16:03:36.801834	0.000000E+0
4/25/2025  16:03:36.801856	0.000000E+0
4/25/2025  16:03:36.801879	0.000000E+0
4/25/2025  16:03:36.801902	0.000000E+0
4/25/2025  16:03:36.801925	3.051758E-5
4/25/2025  16:03:36.801947	-3.051758E-5
4/25/2025  16:03:36.801970	0.000000E+0
4/25/2025  16:03:36.801993	0.000000E+0
4/25/2025  16:03:36.802016	0.000000E+0
4/25/2025  16:03:36.802038	0.000000E+0
4/25/2025  16:03:36.802061	-3.051758E-5
4/25/2025  16:03:36.802084	3.051758E-5
4/25/2025  16:03:36.802106	0.000000E+0
4/25/2025  16:03:36.802129	0.000000E+0
4/25/2025  16:03:36.802152	-3.051758E-5
4/25/2025  16:03:36.802175	0.000000E+0
4/25/2025  16:03:36.802197	0.000000E+0
4/25/2025  16:03:36.802220	0.000000E+0
4/25/2025  16:03:36.802243	0.000000E+0
4/25/2025  16:03:36.802266	0.000000E+0
4/25/2025  16:03:36.802288	-3.051758E-5
4/25/2025  16:03:36.802311	0.000000E+0
4/25/2025  16:03:36.802334	-3.051758E-5
4/25/2025  16:03:36.802356	3.051758E-5
4/25/2025  16:03:36.802379	0.000000E+0
4/25/2025  16:03:36.802402	0.000000E+0
4/25/2025  16:03:36.802425	3.051758E-5
4/25/2025  16:03:36.802447	0.000000E+0
4/25/2025  16:03:36.802470	0.000000E+0
4/25/2025  16:03:36.802493	0.000000E+0
4/25/2025  16:03:36.802516	0.000000E+0
4/25/2025  16:03:36.802538	0.000000E+0
4/25/2025  16:03:36.802561	0.000000E+0
4/25/2025  16:03:36.802584	0.000000E+0
4/25/2025  16:03:36.802606	0.000000E+0
4/25/2025  16:03:36.802629	-3.051758E-5
4/25/2025  16:03:36.802652	0.000000E+0
4/25/2025  16:03:36.802675	0.000000E+0
4/25/2025  16:03:36.802697	0.000000E+0
4/25/2025  16:03:36.802720	3.051758E-5
4/25/2025  16:03:36.802743	0.000000E+0
4/25/2025  16:03:36.802766	3.051758E-5
4/25/2025  16:03:36.802788	0.000000E+0
4/25/2025  16:03:36.802811	0.000000E+0
4/25/2025  16:03:36.802834	0.000000E+0
